sortid,genelist,drdist,FC,pValues,pAdjusted
6525,NMT1,8.07301109678817e-08,0.000246758493073691,0.987466907196259,0.999999999999955
815,ARFGEF2,8.05280879177972e-08,0.000246140992331931,0.987482597448816,0.999999999999955
6130,MTPAP,8.04876020788758e-08,0.000246017243900481,0.987485744175014,0.999999999999955
4976,KAZN,8.04095941380779e-08,0.000245778805953496,0.987491809506428,0.999999999999955
3998,GLOD4,8.03529792431868e-08,0.000245605757682146,0.987496213312943,0.999999999999955
2185,CLEC5A,8.0316756913425e-08,0.000245495041031314,0.987499031691757,0.999999999999955
3111,EFCAB2,8.01524455062035e-08,0.000244992809153336,0.987511824385842,0.999999999999955
7443,POU2AF1,8.01397042376071e-08,0.000244953864375471,0.987512816922813,0.999999999999955
2449,CRYZ,7.98896818006515e-08,0.000244189649399942,0.987532309509868,0.999999999999955
8614,SAR1B,7.9857447548604e-08,0.000244091122649944,0.987534824819173,0.999999999999955
2757,DEPDC5,7.98516378623209e-08,0.000244073364846626,0.987535278215724,0.999999999999955
4585,HSPA9,7.97300235375348e-08,0.000243701640255137,0.987544772968422,0.999999999999955
9467,SREBF2,7.95200637488878e-08,0.000243059880192733,0.987561182148305,0.999999999999955
8988,SLC18B1,7.88998409673797e-08,0.000241164116182254,0.987609781943866,0.999999999999955
11258,ZC2HC1C,7.88438843700025e-08,0.000240993080053593,0.987614176006593,0.999999999999955
7751,PTDSS1,7.88433203740981e-08,0.000240991356151844,0.987614220303023,0.999999999999955
9171,SLF2,7.87695115416874e-08,0.000240765753139005,0.987620018641966,0.999999999999955
4649,IFI27L1,7.85437550888165e-08,0.000240075709220519,0.987637770701547,0.999999999999955
11039,WASH9P,7.84827279233758e-08,0.000239889174466631,0.987642573871867,0.999999999999955
10471,TRIM35,7.84467235250293e-08,0.000239779123941821,0.987645408490234,0.999999999999955
2574,CYB5R1,7.83701650461647e-08,0.00023954511639928,0.987651438085956,0.999999999999955
9702,SYF2,7.82089325098287e-08,0.000239052295353654,0.987664146086689,0.999999999999955
7825,PXDC1,7.81854952264665e-08,0.000238980657291289,0.987665994453136,0.999999999999955
6293,NCAPD2,7.79346396050066e-08,0.000238213895616019,0.987685795404264,0.999999999999955
11763,ZSCAN30,7.79280903099344e-08,0.000238193877135141,0.987686312790697,0.999999999999955
5781,MFSD14B,7.78217683543363e-08,0.000237868894978799,0.98769471514144,0.999999999999955
