"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"8725",9.45084464718645e-85,-0.783035002299512,0.115,0.421,8.53222254747993e-81
"2184",9.5709983638444e-85,-0.61546768732836,0.038,0.323,8.64069732287872e-81
"3521",1.18890058332997e-84,0.25968803032817,0.691,0.271,1.0733394466303e-80
"8150",1.30331844584316e-84,-0.493528679215833,0.023,0.299,1.1766358929072e-80
"1699",1.3724435390942e-84,-0.607674986143165,0.158,0.503,1.23904202709425e-80
"2395",1.39882121950429e-84,0.577132172832211,0.685,0.258,1.26285579696847e-80
"1182",1.40775696452666e-84,-0.675401338088336,0.304,0.642,1.27092298757466e-80
"4073",1.41769570390532e-84,-0.542061522951642,0.109,0.438,1.27989568148572e-80
"4132",1.52422258379526e-84,-0.635481060176769,0.403,0.67,1.37606814865036e-80
"4246",1.5887767440213e-84,-0.673172026052812,0.241,0.555,1.43434764450243e-80
"6095",1.82589798668046e-84,0.411018048282307,0.346,0.021,1.64842070237512e-80
"1349",2.31276762758224e-84,-0.684956869612834,0.168,0.497,2.08796661418125e-80
"4146",2.47454108681336e-84,-0.618569596009949,0.252,0.535,2.2340156931751e-80
"7587",3.07032932970972e-84,-0.725476601545375,0.178,0.492,2.77189331886194e-80
"8088",3.20888899014192e-84,0.482110018706481,0.996,0.949,2.89698498030012e-80
"1041",5.94207483886711e-84,-0.684947958067348,0.262,0.576,5.36450516452923e-80
"734",7.2147041127601e-84,0.527541210964307,0.475,0.084,6.51343487299982e-80
"7408",8.9917092678399e-84,-0.629517717155463,0.544,0.758,8.11771512700586e-80
"7414",9.91067273260375e-84,-0.551356517003323,0.136,0.449,8.94735534299467e-80
"5719",1.12819638409944e-83,0.533284735395529,0.651,0.223,1.01853569556497e-79
"5376",1.39676252500283e-83,-0.574640596371502,0.902,0.917,1.26099720757256e-79
"3405",1.68913082966746e-83,-0.758866529047411,0.634,0.795,1.52494731302378e-79
"7977",1.91157322411507e-83,-0.492836962540797,0.993,0.963,1.72576830673108e-79
