 ,TCGA-A3-3308-01A-01T-0860-13,TCGA-A3-3311-01A-01T-0860-13,TCGA-A3-3313-01A-01T-0860-13,TCGA-A3-3316-01A-01T-0860-13,TCGA-A3-3317-01A-01T-0860-13,TCGA-A3-3319-01A-01T-0860-13,TCGA-A3-3320-01A-01T-0860-13,TCGA-A3-3322-01A-01T-0860-13,TCGA-A3-3323-01A-01T-0860-13,TCGA-A3-3324-01A-01T-0860-13,TCGA-A3-3331-01A-01T-0860-13,TCGA-A3-3347-01A-02R-1324-13,TCGA-A3-3349-01A-01T-1187-13,TCGA-A3-3351-01A-02R-1324-13,TCGA-A3-3362-01A-02R-1324-13,TCGA-A3-3363-01A-01T-0860-13,TCGA-A3-3365-01A-01T-0860-13,TCGA-A3-3372-01A-01T-0860-13,TCGA-A3-3374-01A-01T-0860-13,TCGA-A3-3378-01A-01T-0860-13,TCGA-A3-3380-01A-01T-0860-13,TCGA-A3-3382-01A-01T-0860-13,TCGA-AK-3427-01A-01T-0860-13,TCGA-AK-3429-01A-02R-1324-13,TCGA-AK-3436-01A-02R-1324-13,TCGA-AK-3440-01A-02R-1276-13,TCGA-AK-3443-01A-01T-0860-13,TCGA-AK-3451-01A-02T-1187-13,TCGA-AK-3455-01A-01T-0860-13,TCGA-AK-3456-01A-02R-1324-13,TCGA-AK-3465-01A-02R-1324-13,TCGA-AS-3777-01A-01T-0860-13,TCGA-B0-4838-01A-01R-1304-13,TCGA-B0-4839-01A-01R-1304-13,TCGA-B0-5077-01A-01R-1333-13,TCGA-B0-5081-01A-01R-1333-13,TCGA-B2-3923-01A-02R-1324-13,TCGA-B2-3924-01A-02R-1324-13,TCGA-B2-4098-01A-02R-1324-13,TCGA-B2-4099-01A-02T-1187-13,TCGA-B2-4102-01A-02R-1324-13,TCGA-B8-4143-01A-01T-1187-13,TCGA-B8-4148-01A-02R-1324-13,TCGA-B8-4151-01A-01T-1187-13,TCGA-B8-4154-01A-01T-1187-13,TCGA-B8-4619-01A-01R-1187-13,TCGA-B8-4620-01A-01R-1187-13,TCGA-BP-4158-01A-02R-1288-13,TCGA-BP-4159-01A-02R-1288-13,TCGA-BP-4160-01A-02R-1288-13,TCGA-BP-4161-01A-02R-1324-13,TCGA-BP-4162-01A-02R-1324-13,TCGA-BP-4163-01A-02R-1324-13,TCGA-BP-4164-01A-02R-1324-13,TCGA-BP-4165-01A-02R-1288-13,TCGA-BP-4166-01A-02R-1288-13,TCGA-BP-4167-01A-02R-1324-13,TCGA-BP-4169-01A-02R-1288-13,TCGA-BP-4174-01A-02R-1288-13,TCGA-BP-4176-01A-02R-1288-13,TCGA-BP-4325-01A-02R-1288-13,TCGA-BP-4326-01A-01R-1288-13,TCGA-BP-4327-01A-01R-1288-13,TCGA-BP-4329-01A-02R-1288-13,TCGA-BP-4330-01A-01R-1288-13,TCGA-BP-4332-01A-01R-1288-13,TCGA-BP-4334-01A-01R-1288-13,TCGA-BP-4335-01A-01R-1288-13,TCGA-BP-4337-01A-01R-1288-13,TCGA-BP-4338-01A-01R-1288-13,TCGA-BP-4341-01A-01R-1288-13,TCGA-BP-4342-01A-01R-1288-13,TCGA-BP-4343-01A-02R-1288-13,TCGA-BP-4344-01A-01R-1288-13,TCGA-BP-4345-01A-01R-1288-13,TCGA-BP-4346-01A-01R-1288-13,TCGA-BP-4347-01A-01R-1288-13,TCGA-BP-4351-01A-01R-1288-13,TCGA-BP-4352-01A-01R-1288-13,TCGA-BP-4353-01A-02R-1288-13,TCGA-BP-4354-01A-02R-1288-13,TCGA-BP-4355-01A-01R-1288-13,TCGA-BP-4756-01A-01R-1288-13,TCGA-BP-4758-01A-01R-1288-13,TCGA-BP-4762-01A-02R-1288-13,TCGA-BP-4763-01A-01R-1288-13,TCGA-BP-4765-01A-01R-1288-13,TCGA-BP-4766-01A-01R-1288-13,TCGA-BP-4768-01A-01R-1288-13,TCGA-BP-4769-01A-01R-1288-13,TCGA-BP-4775-01A-01R-1288-13,TCGA-BP-4777-01A-01R-1288-13,TCGA-BP-4781-01A-01R-1304-13,TCGA-BP-4798-01A-01R-1304-13,TCGA-BP-4799-01A-01R-1304-13,TCGA-BP-4803-01A-01R-1304-13,TCGA-BP-4962-01A-01R-1333-13,TCGA-BP-4963-01A-01R-1333-13,TCGA-BP-4972-01A-01R-1333-13,TCGA-BP-4983-01A-01R-1333-13,TCGA-BP-4991-01A-01R-1333-13,TCGA-BP-5004-01A-01R-1333-13,TCGA-CJ-4634-01A-01R-1187-13,TCGA-CJ-4636-01A-01R-1187-13,TCGA-CJ-4637-01A-01R-1187-13,TCGA-CJ-4638-01A-01R-1187-13,TCGA-CJ-4639-01A-01R-1187-13,TCGA-CJ-4640-01A-01R-1187-13,TCGA-CJ-4641-01A-01R-1187-13,TCGA-CJ-4643-01A-01R-1187-13,TCGA-CJ-4644-01A-01R-1187-13,TCGA-CJ-4871-01A-01R-1304-13,TCGA-CJ-4872-01A-01R-1304-13,TCGA-CJ-4873-01A-01R-1304-13,TCGA-CJ-4884-01A-01R-1304-13,TCGA-CJ-4885-01A-01R-1304-13,TCGA-CJ-4886-01A-01R-1304-13,TCGA-CJ-4892-01A-01R-1304-13,TCGA-CJ-4893-01A-01R-1304-13,TCGA-CJ-4894-01A-01R-1304-13,TCGA-CZ-4861-01A-01R-1304-13,TCGA-CZ-4862-01A-01R-1304-13
hsa-mir-128-2,-0.057566,-0.51467,-0.096806,-0.510884,-0.662442,-0.625275,2.759397,-0.512062,-0.034091,-0.802374,-0.49566,0.089878,-0.622697,-0.004845,3.032813,2.53904,0.025362,-0.185403,-0.843586,-0.055587,0.773914,-0.217492,-0.8483,0.257535,0.16961,-1.17514,-0.622999,-0.540631,-0.215871,0.714056,-0.484952,-0.69836,0.118725,1.519158,-0.447383,-0.496329,-0.917237,1.875451,-0.308659,-0.230694,2.830062,-0.315414,0.656013,0.011184,-0.232657,-0.460954,-0.59638,-0.121658,-0.539306,0.933511,0.958648,0.431891,-0.48363,-0.312734,-0.680076,0.001065,-0.362132,-0.311024,-0.293551,-0.553919,-0.462853,-0.015504,-0.361225,-0.518727,-0.812101,0.757968,-0.818144,0.713552,-0.587835,-0.635112,-0.627546,-0.536062,-0.337618,0.864982,-0.336796,-0.123725,1.620068,-0.01415,-0.314814,0.033114,0.023929,0.182391,1.375978,-0.3941,0.928659,0.259998,1.376602,0.084378,4.620779,-0.996003,-0.402195,0.796057,-0.565052,-0.134052,-0.477458,-0.867854,-0.815162,-0.869157,-0.609841,-0.606035,-0.791716,3.673485,-0.062522,-0.818711,-0.119241,-0.057673,-0.413249,-0.060369,-0.331303,-0.720701,3.261649,-0.018408,-0.776482,-0.83022,-0.545875,-0.749436,-0.764981,0.37096,-0.144693,-0.526414,-0.983712,-0.195604
hsa-mir-1287,1.397721,-0.286626,0.601024,0.530127,-0.143369,-0.191964,-0.126222,1.504798,0.658055,2.163439,0.036951,0.256591,0.443126,0.154534,-0.055497,-0.191365,0.193973,-0.115048,-1.038113,-0.384653,0.33286,0.550366,-1.137686,-0.045466,-0.215156,-1.231759,-0.580546,0.6384,0.185421,1.168902,-0.644208,-0.409203,-0.237583,-0.415232,-0.490118,0.044551,-1.017829,-0.228136,-0.101137,0.062933,-0.064202,-0.065065,0.561896,0.708304,0.753474,-0.113497,-0.102702,-0.23059,-0.244975,-0.109122,1.135804,0.016232,-0.532487,0.004115,-0.045267,-0.812928,0.340848,-0.404523,-0.087859,-0.684252,0.912895,-0.613882,0.110171,-0.315319,-0.485032,-0.519756,-1.254071,-0.401039,-0.724552,-0.105478,-0.061223,-1.03387,-0.396961,0.459576,-0.183936,-0.044404,-0.314261,-0.091833,0.806774,0.238797,1.605655,-0.199895,8.316685,0.280709,-0.61595,0.025273,-0.037077,2.168103,0.811159,-0.639329,-0.528872,-0.325651,0.508172,-0.795749,-0.623876,-0.673941,-0.603215,-0.220566,-0.735082,-0.61712,-0.391788,-0.761022,0.2473,-0.643024,-0.625947,0.854497,-0.033569,-0.412593,1.345157,-0.150976,0.182826,-0.460711,-0.198963,-0.911788,1.46492,-0.62399,-0.544414,-0.345829,-0.80741,-0.717582,-0.654371,-0.552816
hsa-mir-1296,0.640964,-0.267088,1.487567,0.591538,-0.360325,-1.319576,0.937398,-0.224237,-1.056942,0.454878,-0.089553,-0.606344,2.606141,-1.319322,0.134997,-1.469361,0.757315,-0.56834,3.099051,-0.867881,0.946859,0.083356,-1.153079,-0.571255,-0.764533,-0.862452,-0.921593,-1.469361,-0.956347,0.672515,-0.093853,-0.817682,-1.226851,-0.329033,0.847858,-0.68465,0.038499,-1.22483,0.132742,-0.962468,-0.744933,-1.469361,-1.058212,-0.89952,-1.114447,-1.469361,1.108625,0.375625,0.274504,0.255339,-0.681444,-1.024143,-0.40407,-0.824341,0.206623,-0.058177,-1.342063,0.536985,-1.136406,-0.228465,0.053843,0.168965,-0.34037,-0.487362,-0.343789,-0.534977,1.920375,0.1942,0.653418,-0.21795,0.994673,-0.5881,0.374009,1.822109,0.373203,-0.747091,0.071597,0.830707,1.186514,2.537254,-0.385752,1.788089,2.839707,-0.103699,1.574286,0.44635,1.08707,0.153189,1.233443,0.415966,-0.342069,-0.558711,2.213789,-0.446139,-0.33032,0.587525,-0.152508,-0.275268,1.935799,-0.85638,-0.275103,-0.406524,0.23857,-0.124085,-1.307092,-0.168093,0.860778,0.029211,-0.898254,0.096873,0.579272,-0.419164,-0.902137,-1.235973,-1.324047,0.575951,2.563178,-0.13707,-0.273852,0.523039,-0.779326,0.490776
hsa-mir-1301,1.420118,-1.135844,0.836336,-0.51296,0.107236,-0.29695,-0.712793,-1.159337,-0.488061,-0.038041,-0.619402,-1.031385,-1.385057,-0.926327,-0.49554,-1.400078,-1.318139,-0.995812,-0.176232,0.318995,-0.651823,-0.91431,-1.173086,0.430583,-0.932051,-1.327922,-1.121377,0.053745,-0.878801,1.70789,-1.266968,-1.229207,0.657784,-0.712512,1.118533,1.833395,-1.435941,-0.980863,-0.464541,-0.890261,-0.822064,-1.176617,0.405761,-0.172348,-1.008668,-1.659761,-0.413283,-0.444336,-0.155868,0.3961,-0.216656,-0.588979,-0.343472,-0.269417,0.652398,0.297584,0.246027,-0.137249,0.342413,0.266064,0.401305,-0.305666,-0.165969,-0.102957,0.900103,-0.721633,-1.004223,-0.022519,-0.136057,1.674903,0.705825,0.841703,0.269699,-0.298731,0.255089,0.932695,-0.724624,1.296619,-0.223302,-0.245305,1.330485,-1.194201,5.471433,0.75737,-0.524293,0.750946,-0.370821,0.97052,0.204201,-1.103895,1.443606,2.167097,-0.562325,1.649834,-0.133305,-0.427298,1.584756,0.466089,0.374243,1.17311,0.210229,1.062463,0.292384,-0.328126,0.818876,0.161858,-0.670756,-0.576753,0.566399,-0.464776,1.276898,-0.224234,-0.246373,1.000781,1.425261,-0.62089,-0.345086,0.079375,2.287267,0.158973,-0.224454,-0.004439
hsa-mir-1306,0.716733,-1.015094,2.472723,0.852036,-0.833209,0.165323,-0.007585,1.009988,0.24237,1.600369,-0.081966,-0.284168,-0.477047,2.542075,0.717662,-0.966916,-0.159791,0.6909,1.057679,1.165389,-0.054064,0.865959,-1.890792,-0.072986,-0.635959,-1.48357,-1.228871,-1.380363,-0.935765,0.727822,-0.239636,-0.271076,-0.166011,-0.450163,-0.017205,-0.910742,-1.138869,-0.874102,-1.675569,-1.326643,1.913671,-1.153942,1.047578,-0.936151,-1.151025,0.828223,0.344638,1.163159,0.166558,0.41916,0.911656,0.730239,-0.939901,1.239244,0.427534,-0.234285,-0.819387,1.142977,1.910196,-0.976919,1.02269,1.182396,1.702164,-0.262218,-1.313402,-0.972027,-1.498061,-0.011086,-1.15434,0.888782,-0.775746,-0.751695,-1.191202,1.049833,0.008007,-0.918417,0.288874,-0.226576,-0.365885,2.152677,1.277418,-1.08892,1.523233,-0.178704,-0.737823,0.110825,1.127294,2.928441,1.700962,-1.02323,-0.222607,0.676829,1.436963,0.686128,-1.302753,0.100657,-1.191079,-0.728123,-1.081532,-0.38582,-0.236092,0.597907,0.234953,0.057001,-0.118407,-0.182306,-0.722855,0.758927,0.618962,-1.526132,-0.305117,-0.720547,-0.970004,0.103368,0.238237,-1.100735,-0.376624,-0.177533,-0.283266,0.047177,-0.612022,-0.08991
hsa-mir-1307,3.187736,1.698734,4.875809,0.861982,0.516186,-0.164236,0.561196,0.780696,0.887391,2.125507,0.751686,0.024033,-0.997739,0.054277,-0.114845,-0.133631,0.769968,-0.106346,-0.117316,3.246356,0.107064,-0.179995,-0.986643,-0.678655,-0.651185,-1.43673,-0.684247,0.990427,0.987753,2.81469,-0.776782,0.948399,-0.072306,-0.200312,-0.311943,0.667495,-1.187153,-0.908294,-0.132735,-1.154053,1.346178,-0.393477,0.398737,0.099219,-0.069252,-0.828382,-1.307779,-0.733005,-0.79906,0.363714,0.120805,0.034846,-0.901742,-1.109591,-0.543472,-1.205343,-0.702759,-0.772855,-0.845146,-0.81854,0.560603,-0.751813,-0.05448,-0.740389,-0.086228,-1.135718,-1.451734,-0.182309,-0.656306,0.367952,0.018251,-1.236528,-0.052956,-0.910388,-0.217982,0.708671,-0.643072,0.086901,0.940316,0.190278,1.398814,-0.773908,1.570058,0.027828,-0.835286,0.099103,-0.965886,1.003599,0.6382,-1.367213,-0.362684,1.061423,-0.642472,-0.076533,-0.526741,-0.221453,-0.289976,0.461854,-0.745654,0.854639,-0.892787,-0.330164,-0.33529,-0.586923,-0.108453,1.080205,-0.516914,-0.160711,0.935432,-0.576724,0.139944,-0.74377,-0.706869,1.232609,1.433913,-0.810055,-0.265761,-0.307125,-0.476613,-0.152673,-0.221888,0.114502
hsa-mir-130a,0.048845,-0.233621,0.605898,0.779778,0.458782,-0.036626,-0.817513,-0.696506,0.320564,-0.823905,0.089976,0.513595,1.223747,-0.227667,-0.311261,-0.33897,0.069579,0.436209,-1.39737,-0.953927,-0.015751,-0.952705,-0.945171,-1.072549,0.721867,-1.310547,-1.563104,-1.292656,0.192246,-0.226078,-0.422567,-0.54531,-0.779447,0.55326,-0.037247,0.612891,-1.523953,-1.121782,-0.883562,-0.279677,-0.532526,-0.252133,-0.305889,-0.601013,-0.976034,-0.913581,1.973667,-0.900498,0.788171,-0.121023,0.097067,-0.586257,0.060163,-0.492405,0.91674,0.09821,0.592713,-0.097774,-0.902531,-0.795024,-0.237481,-0.891785,2.148368,0.28197,-0.115529,0.918466,-1.623628,0.251018,0.777029,-0.511427,0.480904,-1.324723,-0.199933,2.251475,1.478504,-0.528046,-0.675333,-0.140903,-0.470271,-0.155171,4.595075,1.006286,-0.280699,0.980398,0.285611,1.356456,1.792289,-0.44081,-0.35177,0.845604,-0.733223,-0.187829,0.500069,1.063924,5.339173,0.010899,0.153866,-0.621469,-0.393051,-1.047725,-0.292233,-0.857958,0.283164,-0.650092,0.252427,0.168434,-0.191801,0.031579,-0.405864,-0.626131,-0.444267,-0.101298,0.541362,-0.048752,-0.479914,0.916063,0.266905,0.573026,-0.561333,0.357626,0.896132,-0.081462
hsa-mir-130b,4.052049,1.629031,1.28391,1.597415,0.849951,2.109935,-0.667718,5.381298,0.149011,0.223935,-0.148778,0.400843,-0.112562,-0.56961,-0.620364,-0.399753,0.497344,0.089988,-0.957995,-0.053902,-0.031346,-0.131738,0.194834,-0.474274,-0.211365,-0.953972,-0.043985,-1.059498,1.02012,-0.44052,-0.880163,-0.694773,-0.689112,-0.403883,-0.961697,0.504022,-1.3344,-0.500444,-0.421876,-0.635166,-0.09864,0.377791,0.167781,-0.584018,-0.264329,-0.764613,0.255485,-1.055647,-0.372029,-0.915837,-0.503451,0.229459,-0.795466,0.235798,-0.084217,-0.035147,1.324072,-0.098429,-0.790429,-0.411771,0.817951,1.162204,-0.166515,-0.689315,-0.816048,-0.216219,-1.233475,-0.737199,0.884794,0.934369,-0.581426,0.798008,0.584322,0.467693,0.85575,-0.037985,0.00854,0.343587,2.287493,0.969398,1.678102,-1.107123,1.066812,-0.544296,-0.516596,1.459,-0.059627,1.316106,-0.517942,-1.403141,-0.100452,0.710035,-0.390039,1.105642,1.610673,-0.482435,-0.441863,-0.740044,-1.505181,0.578391,-1.497473,0.444744,-0.359874,-0.361551,0.130555,-0.391022,-0.912318,-0.242667,0.131852,-1.277303,0.173156,-0.624525,-0.766165,-0.265081,-1.195106,-1.17199,-0.534695,0.323992,-0.192653,-0.377351,-0.204478,-0.583149
hsa-mir-132,0.455804,-1.02684,0.986967,-0.216224,0.086333,-0.642759,0.196288,-0.634145,-0.274426,-1.355023,-0.873116,0.69894,-0.790678,0.265677,1.565383,-0.818756,0.834124,-0.495101,0.680387,-0.324833,0.477843,-0.482767,-0.561873,0.532684,-0.758536,-1.243467,-1.15822,-0.519312,-0.912659,-0.671507,-0.173788,-0.593689,-0.395964,-1.072651,-0.386646,1.166407,-1.328841,0.11036,-0.326863,0.567203,0.042332,2.062793,0.23226,-0.440583,-0.544967,0.516359,3.56784,-0.637263,-0.233289,-0.337966,-0.688099,-0.072924,-0.489717,0.244144,-0.524181,0.652156,-0.579821,0.286966,-0.592861,0.13728,-0.382544,2.246899,-0.469609,-0.252166,-0.399007,0.126274,-1.357462,-0.817181,-0.232544,-0.233637,-0.683884,0.061116,0.812647,0.458476,1.275307,-0.874357,0.485192,0.533507,-1.04907,-0.710282,5.073548,0.633113,0.006703,-0.579294,0.570142,-0.215813,-0.377582,0.131114,0.41807,-0.09299,1.016583,-0.731144,2.234949,-0.145325,1.335263,-0.252735,-0.297689,0.224843,-0.388366,4.076175,-0.78276,0.861441,-0.564896,-0.751778,1.111134,-0.649543,-1.279169,-0.54152,1.355761,-0.394546,0.484387,-0.784204,0.614682,-0.325572,0.093907,-0.702681,-0.691675,-0.295199,-0.90393,0.130612,0.310231,-0.658094
hsa-mir-133a-1,0.091246,-0.681904,-0.33189,-0.257383,1.540188,-0.278877,-0.53604,0.275968,-0.674042,-0.606145,-0.814272,0.696413,0.094617,-0.48004,-0.344862,-0.811517,0.692047,-0.2434,0.302689,-0.231193,0.459671,-0.254218,-0.881007,-0.871353,-0.556104,-0.897529,-0.952084,-0.631289,-0.606224,-0.803982,-0.333864,-0.366292,-0.516101,-0.553458,-0.194651,1.634286,-0.274379,-0.787227,-0.712063,-0.895128,-0.545093,-0.872547,-0.767294,-0.759998,-0.952084,-0.779762,-0.741416,-0.505578,-0.021349,1.075266,-0.739607,-0.751981,0.388537,-0.6042,-0.553295,0.540278,1.622542,2.204036,-0.278675,0.302783,-0.658683,-0.081861,-0.952084,0.12679,0.666752,0.727745,-0.871899,-0.204399,2.796083,-0.670862,-0.684767,0.302172,1.165192,-0.501848,3.011143,0.995654,-0.322465,-0.322838,-0.952084,0.128376,-0.70857,0.6809,-0.952084,-0.798635,2.450282,1.822291,0.092447,-0.514532,0.075799,2.013665,-0.276538,0.112071,-0.58422,-0.098012,-0.64492,-0.150882,5.887153,0.054197,2.108801,0.149929,-0.176768,1.197522,-0.696208,1.345517,-0.660357,0.05052,-0.578056,0.394977,0.844697,-0.468124,-0.491706,-0.277785,0.169642,-0.217813,-0.168351,-0.492453,-0.19691,0.245507,-0.750589,0.774914,-0.021679,0.089074
hsa-mir-134,2.545356,-0.165937,0.155932,2.404346,0.962815,-0.185709,-0.392135,1.144315,-0.622855,-0.450648,-0.351806,2.722512,0.597767,-0.771188,0.109175,-0.745429,0.217011,-0.630646,-0.749041,-0.609175,-0.498592,-0.095512,-0.875785,-0.82874,-0.06642,-0.84609,-0.798401,-0.212868,-0.761501,-0.231162,-0.097111,-0.491027,-0.633388,0.420551,-0.617654,0.210443,-0.710674,-0.434757,-0.687259,-0.667134,-0.366425,-0.02545,-0.366351,-0.851248,-0.063485,0.205756,-0.420716,-0.559237,-0.364645,0.513268,-0.806927,-0.263594,-0.473552,-0.748051,0.41198,-0.428306,1.680143,-0.141483,-0.623764,0.025196,-0.089625,-0.559449,-0.282374,-0.499297,-0.418267,0.205391,-0.671343,-0.594034,0.442809,-0.113701,0.380044,-0.206294,1.113698,-0.146393,1.372803,-0.563159,-0.548348,-0.430687,0.228377,2.853105,0.841271,-0.426628,-0.854484,-0.195179,2.263144,0.683312,0.641095,0.082819,-0.516975,0.191316,-0.646601,-0.477749,-0.189528,-0.025834,-0.431375,-0.29539,0.312829,-0.700963,0.172375,7.100028,-0.516761,-0.159708,2.387954,0.095003,-0.285477,-0.347258,-0.31902,-0.245375,-0.190939,-0.604286,-0.695876,-0.004142,0.122716,0.34733,-0.078446,-0.430479,0.549319,-0.263168,0.109001,-0.226906,-0.619362,-0.21955
hsa-mir-135a-1,-0.385245,0.130301,-0.451259,-0.459559,5.362694,0.209179,-0.140941,-0.197744,-0.538696,-0.541188,0.407791,-0.497973,1.581385,-0.372569,-0.125719,2.660439,-0.130369,0.177267,-0.507156,-0.50349,-0.335763,-0.180497,-0.475924,-0.559735,-0.544119,-0.422388,-0.556167,-0.543716,5.961395,1.061972,-0.120153,-0.458176,0.114422,0.36301,-0.547411,-0.50505,-0.420226,-0.553869,-0.527705,-0.564516,-0.084935,-0.559975,-0.526425,0.067783,0.626876,-0.541318,-0.554788,-0.499011,-0.497167,-0.551989,0.307023,-0.093123,-0.556713,-0.447721,2.328676,-0.028308,-0.31136,-0.190651,3.170398,-0.127379,1.036637,-0.535587,-0.422918,-0.566108,-0.362346,0.071452,-0.398607,-0.041404,-0.493748,-0.575969,-0.537574,0.791271,-0.575969,-0.524235,-0.504601,-0.197368,-0.398721,-0.223491,-0.575969,-0.575969,-0.575969,0.341189,2.474626,0.395991,0.672442,-0.383597,-0.229408,-0.531977,0.532638,-0.56461,-0.372208,-0.444287,0.422639,0.044934,-0.575969,0.576572,-0.562745,0.651595,0.304526,-0.575969,0.599297,0.032381,-0.507366,-0.563811,-0.326659,-0.223158,-0.064538,-0.440533,-0.575969,-0.434418,-0.402393,-0.047168,-0.094091,1.153637,-0.523437,-0.483545,-0.135597,-0.390727,-0.346372,-0.048633,-0.347305,1.388785
hsa-mir-135b,-0.717768,0.08556,-0.546347,1.421729,2.49155,2.808329,-0.535155,0.106455,0.653134,0.221649,-0.4749,0.122158,-0.549416,-0.34885,-0.617093,4.24023,0.014197,0.499521,-0.712401,-0.66877,-0.471358,1.629404,-0.525952,-0.372326,-0.235665,-0.683321,-0.53803,-0.594968,-0.647682,-0.186002,-0.47574,1.136686,0.655661,-0.64885,0.009161,0.371791,-0.74425,-0.590818,5.689341,-0.664737,-0.539705,-0.611005,-0.400281,-0.726373,-0.632904,-0.599908,-0.391326,0.128437,-0.224507,-0.161542,-0.309193,-0.390401,-0.463513,-0.566173,-0.583417,-0.608828,-0.37683,-0.508208,0.592805,1.143872,0.211492,-0.090083,0.200272,-0.292399,-0.504127,-0.39248,-0.74425,-0.58188,-0.458833,0.328862,-0.626962,0.416948,-0.333003,0.045933,0.180651,-0.417952,-0.638772,1.075424,4.288409,-0.090618,0.819558,-0.681361,-0.699188,-0.401494,-0.460236,1.365969,-0.525517,-0.337019,0.716823,0.87246,-0.414165,0.398535,1.464051,-0.047194,-0.544135,0.40869,-0.450467,0.00499,-0.708641,0.217295,0.304831,-0.722021,-0.74425,-0.57543,0.192463,0.002252,-0.723364,-0.067243,-0.553134,-0.731966,-0.679979,-0.179435,-0.445288,-0.158488,-0.306596,-0.70925,-0.491227,-0.139792,0.399696,0.630906,0.063953,-0.319376
hsa-mir-136,4.430213,0.880206,1.16626,5.048476,2.133355,-0.539067,0.094031,3.3045,-0.723877,0.36065,0.566506,3.411326,1.846169,-0.641745,0.944944,-0.804128,1.432207,-0.071338,-0.939183,-0.179576,-0.222147,-0.114203,-0.874052,-0.849343,-0.326273,-0.944261,-0.829126,-0.098093,-0.760901,-0.676915,0.877899,0.443292,-0.832794,0.197461,-0.668252,-0.273661,-0.659506,-0.690291,-0.810241,-0.414574,-0.347647,-0.363845,0.110636,-0.924864,0.12799,0.884587,0.022388,-0.500901,-0.579543,0.958486,-0.439648,-0.407257,-0.467766,-0.848211,0.985331,-0.483037,1.462656,0.069142,-0.711262,-0.77048,-0.054736,-0.781842,-0.320043,-0.453511,-0.408588,-0.196102,-0.932828,-0.715766,0.757974,-0.672095,0.996523,-0.582894,1.488557,-0.265801,1.184658,-0.457765,-0.540306,-0.457787,-0.017242,0.787565,0.003544,-0.04714,-0.932043,0.043685,0.434256,0.462106,0.681706,-0.085422,-0.721142,0.462125,-0.652536,-0.762655,-0.365531,0.154681,-0.793913,-0.519659,0.492479,-0.643891,-0.316091,0.001708,-0.720154,-0.852198,0.952334,-0.00368,-0.197332,-0.286153,-0.328434,-0.297485,0.257929,-0.470428,-0.673023,-0.262105,-0.272987,-0.357948,-0.487635,-0.585416,0.528906,-0.23075,-0.574643,-0.401144,-0.685545,-0.277048
hsa-mir-139,0.518969,1.43412,0.010665,0.35894,0.427333,-0.981683,0.711684,2.953784,0.160419,-0.581366,0.56051,-0.865317,0.416203,-0.942875,1.18103,-1.322799,3.421242,1.222744,-0.53113,-0.972567,2.702656,-0.998943,0.297969,-0.545498,-1.107944,-0.729565,1.098034,-0.804374,-0.64189,-1.130724,-0.136993,2.632253,-0.374969,0.067963,0.035273,-0.53113,-0.133662,-0.565004,-1.110794,-0.394876,0.173015,-0.946366,0.693436,-0.484416,-0.078165,1.676489,-0.9583,-0.180005,0.485516,0.111043,-0.797212,0.533484,0.048453,-1.015176,0.110884,0.226325,-1.071703,0.710083,-1.085141,-0.992783,0.95842,-1.253815,0.556578,0.681086,-0.216498,0.423329,-0.813094,-0.254804,-0.734434,-1.09637,2.666954,-0.778378,-0.776818,2.072644,-0.525268,-0.418518,0.746201,0.187693,-1.256794,1.295711,-0.194194,1.678237,-1.081814,0.718582,0.91327,0.851819,1.904833,2.263332,-0.548389,-0.449037,0.209125,0.136105,-0.589931,-0.612391,-0.68381,-0.883072,-0.4951,-0.243492,-0.425061,-1.281162,1.143577,-0.54209,0.594365,-0.820967,-1.076969,-1.095391,1.034479,-0.639869,-0.852468,0.291031,-0.166094,-0.248109,0.060091,-1.230594,-0.585828,-0.974215,0.438125,-0.37957,0.48787,0.292094,-0.959265,0.610975
hsa-mir-140,0.641573,-1.054601,-0.157621,-1.037045,-0.532766,-0.986092,-0.100647,-0.58668,0.038071,-1.08277,-0.730321,1.111183,0.733178,-0.071193,0.490084,-1.71385,-0.056629,-0.459719,-0.994467,-0.803492,0.47212,-0.888068,-0.59855,0.15388,-0.265055,-1.272448,-1.363281,-0.476838,-0.352961,-0.787011,-0.140448,-0.909306,-0.269734,-0.670038,0.951522,1.888275,-0.693884,-0.486845,-0.946084,0.157501,-0.381322,-1.029683,0.189058,-0.588002,-0.833431,0.169109,-1.031772,-0.48513,0.257105,0.208836,-0.861648,-0.364234,0.595438,-0.197406,0.402628,1.325883,0.354678,-0.083719,-0.031954,-0.383773,-0.567938,7.084929,-0.352365,-0.71032,0.530171,0.929191,-1.303612,-0.472916,0.089306,-0.279768,-0.323194,1.855876,-0.250332,0.720182,0.960913,0.047028,-0.511633,1.015837,-0.538378,0.831358,-0.618597,1.574452,-0.713868,-0.49355,2.889068,0.500717,0.464825,-0.120409,-0.84752,0.880272,0.657121,0.061198,-0.779925,-0.362485,0.083131,0.234131,1.382178,0.753617,1.703975,-0.568057,0.840913,0.940245,0.140421,0.158363,-0.291165,-0.39826,-0.322813,0.003685,-0.100503,0.713289,0.901778,-0.162697,-0.180521,-0.526956,-0.145215,0.054545,-0.143177,-0.016638,-0.827917,0.756147,-0.8749,0.667162
