sortid,genelist,drdist,FC,pValues,pAdjusted
463,C21ORF91,1.28684551467062e-16,0.0156749526137707,0.900365493522751,0.99999999991268
311,ASXL2,1.28630035926059e-16,0.0156683121234229,0.900386490174675,0.99999999991268
122,ADGRV1,1.286180538155e-16,0.0156668525930201,0.900391105688398,0.99999999991268
1174,FCHSD2,1.28333706433659e-16,0.0156322164872453,0.900500700558067,0.99999999991268
2016,MYD88,1.28152747793675e-16,0.0156101740736496,0.900570510939346,0.99999999991268
3546,UQCC2,1.28135177315449e-16,0.0156080338290713,0.900577291959128,0.99999999991268
596,CD83,1.28083278852971e-16,0.0156017121227685,0.900597324023602,0.99999999991268
2374,PIM2,1.28028688533948e-16,0.0155950625237756,0.900618399554686,0.99999999991268
2536,PSMG4,1.27950452213761e-16,0.0155855326260713,0.900648611988871,0.99999999991268
911,DMAC2L,1.27867722877901e-16,0.0155754554380592,0.900680569692103,0.99999999991268
1088,ETNK1,1.27609132383391e-16,0.0155439567561925,0.900780528958502,0.99999999991268
3507,TYW1,1.27589190568728e-16,0.0155415276611977,0.900788241822612,0.99999999991268
1791,LY6E,1.27423882876928e-16,0.0155213916759057,0.900852201199482,0.99999999991268
3211,SYTL2,1.27349967894725e-16,0.0155123881566,0.900880813355282,0.99999999991268
655,CFAP57,1.2656729154849e-16,0.0154170510357157,0.901184302717695,0.99999999991268
1376,H1-4,1.26079509136364e-16,0.0153576346869097,0.901373926627201,0.99999999991268
3044,SND1,1.25961160818544e-16,0.0153432187818723,0.901419990289252,0.99999999991268
1860,MDK,1.25771598625499e-16,0.0153201283770065,0.901493817699114,0.99999999991268
71,AC243772.3,1.25621772080427e-16,0.0153018781366512,0.901552209531935,0.99999999991268
3318,TLR2,1.25166972542081e-16,0.01524647940284,0.901729675222921,0.99999999991268
913,DMXL2,1.24697384799715e-16,0.0151892793308369,0.901913255172372,0.99999999991268
2749,RPL8,1.24392043895679e-16,0.015152086022493,0.902032813030127,0.99999999991268
2368,PIK3AP1,1.22424976916912e-16,0.0149124793150151,0.902806625697152,0.99999999991268
3599,WDR6,1.22166800852651e-16,0.0148810311145346,0.9029086550886,0.99999999991268
