Ligand.ApprovedSymbol	Receptor.ApprovedSymbol
COL4A5	ITGAV
COL4A5	ITGB1
COL4A6	CD47
COL4A6	CD93
COL4A6	ITGA1
COL4A6	ITGA2
COL4A6	ITGAV
COL4A6	ITGB1
COL5A1	ITGA1
COL5A1	ITGB1
COL5A1	SDC3
COL5A2	DDR1
COL5A2	ITGA1
COL5A2	ITGB1
COL5A3	SDC3
COL6A1	ITGA1
COL6A1	ITGA2
COL6A1	ITGA6
COL6A1	ITGB1
COL6A2	ITGA1
COL6A2	ITGA2
COL6A2	ITGB1
COL6A3	ITGA1
COL6A3	ITGA2
COL6A3	ITGB1
COL7A1	ITGA2
COL7A1	ITGB1
COL8A1	ITGA1
COL8A1	ITGA2
COL9A1	MAG
COL9A2	MAG
COL9A3	MAG
COLQ	MUSK
CORT	GHSR
CORT	MRGPRX2
CORT	SSTR1
CORT	SSTR2
CORT	SSTR3
CORT	SSTR4
CORT	SSTR5
CPAMD8	SCTR
CP	SLC40A1
CRH	CRHR1
CRH	CRHR2
CRH	MC2R
CRP	OLR1
CSF1	CSF1R
CSF2	CSF1R
CSF2	CSF2RA
CSF2	CSF2RB
CSF2	CSF3R
CSF2	IL3RA
CSF2	ITGA9
CSF2	ITGB1
CSF2	SDC2
CSF3	CSF1R
CSF3	CSF3R
CSH1	PRLR
CSH2	PRLR
CSHL1	GHR
CSHL1	PRLR
CTF1	IL6ST
CTF1	LIFR
CTGF	ERBB4
CTGF	ITGA5
CTGF	ITGAM
CTGF	ITGB2
CTGF	LRP1
CTGF	LRP6
CTGF	NTRK1
CTHRC1	FZD3
CTHRC1	FZD5
CTHRC1	FZD6
CUBN	LRP2
CX3CL1	CX3CR1
CXCL10	CCR3
CXCL10	CXCR3
CXCL10	SDC4
CXCL11	ACKR3
CXCL11	CCR3
CXCL11	CXCR3
CXCL12	ACKR3
CXCL12	CCR4
CXCL12	CD4
CXCL12	CXCR3
CXCL12	CXCR4
CXCL12	ITGB1
CXCL12	SDC4
CXCL13	ACKR4
CXCL13	CCR10
CXCL13	CXCR3
CXCL13	CXCR5
CXCL13	HTR2A
CXCL13	OPRD1
CXCL16	CXCR6
CXCL1	CXCR1
CXCL1	CXCR2
CXCL1	DARC
CXCL2	CXCR1
CXCL2	CXCR2
CXCL2	XCR1
CXCL3	CXCR1
CXCL3	CXCR2
CXCL5	CXCR1
CXCL5	CXCR2
CXCL5	DARC
CXCL6	CXCR1
CXCL6	CXCR2
CXCL9	CCR3
CXCL9	CXCR3
CYR61	CAV1
CYR61	ITGA5
CYR61	ITGAM
CYR61	ITGAV
CYR61	ITGB2
CYR61	ITGB3
CYR61	ITGB5
DCN	EGFR
DCN	ERBB4
DCN	MET
DEFB103A	CCR6
DEFB103B	CCR2
DEFB103B	CCR6
DEFB1	CCR6
DEFB4A	CCR6
DEFB4A	TLR4
DEFB4B	CCR6
DHH	BOC
DHH	CDON
DHH	HHIP
DHH	PTCH1
DHH	PTCH2
DKK1	KREMEN1
DKK1	KREMEN2
DKK1	LRP5
DKK1	LRP6
DKK2	KREMEN2
DKK2	LRP6
DLK1	NOTCH1
DLK1	NOTCH2
DLK1	NOTCH3
DLK1	NOTCH4
DLK2	NOTCH1
DLL1	NOTCH1
DLL1	NOTCH2
DLL1	NOTCH3
DLL1	NOTCH4
DLL3	NOTCH1
DLL3	NOTCH2
DLL3	NOTCH3
DLL3	NOTCH4
DLL4	NOTCH1
DLL4	NOTCH2
DLL4	NOTCH3
DLL4	NOTCH4
DSCAM	DCC
EBI3	IL27RA
EBI3	IL6ST
ECM1	CACHD1
EDA	EDA2R
EDA	EDAR
EDIL3	ITGAV
EDIL3	ITGB5
EDN1	EDNRA
EDN1	EDNRB
EDN1	ELTD1
EDN1	KEL
EDN2	EDNRA
EDN2	EDNRB
EDN2	KEL
EDN3	EDNRA
EDN3	EDNRB
EDN3	KEL
EFEMP1	EGFR
EFEMP2	AQP1
EFEMP2	CATSPER1
EFEMP2	LINGO1
EFEMP2	PLSCR4
EFNA1	EPHA1
EFNA1	EPHA2
EFNA1	EPHA3
EFNA1	EPHA4
EFNA1	EPHA5
EFNA1	EPHA6
EFNA1	EPHA7
EFNA1	EPHA8
EFNA1	EPHB1
EFNA1	EPHB6
EFNA2	EPHA1
EFNA2	EPHA2
EFNA2	EPHA3
EFNA2	EPHA4
EFNA2	EPHA5
EFNA2	EPHA6
EFNA2	EPHA7
EFNA2	EPHA8
EFNA3	EPHA1
EFNA3	EPHA2
EFNA3	EPHA3
EFNA3	EPHA4
EFNA3	EPHA5
EFNA3	EPHA6
EFNA3	EPHA7
EFNA3	EPHA8
EFNA3	EPHB1
EFNA3	EPHB6
EFNA4	EPHA1
EFNA4	EPHA2
EFNA4	EPHA3
EFNA4	EPHA4
EFNA4	EPHA5
EFNA4	EPHA6
EFNA4	EPHA7
EFNA4	EPHA8
EFNA5	EPHA1
EFNA5	EPHA2
EFNA5	EPHA3
EFNA5	EPHA4
EFNA5	EPHA5
EFNA5	EPHA6
EFNA5	EPHA7
EFNA5	EPHA8
EFNA5	EPHB1
EFNA5	EPHB2
EFNA5	EPHB6
EFNB1	EPHA4
EFNB1	EPHA6
EFNB1	EPHB1
EFNB1	EPHB2
EFNB1	EPHB3
EFNB1	EPHB4
EFNB1	EPHB6
EFNB1	ERBB2
EFNB2	EPHA3
EFNB2	EPHA4
EFNB2	EPHA6
EFNB2	EPHB1
EFNB2	EPHB2
EFNB2	EPHB3
EFNB2	EPHB4
EFNB2	EPHB6
EFNB2	GRM1
EFNB2	GRM5
EFNB2	PECAM1
EFNB2	RHBDL2
EFNB3	EPHA4
EFNB3	EPHB1
EFNB3	EPHB2
EFNB3	EPHB3
EFNB3	EPHB4
EFNB3	EPHB6
EFNB3	RHBDL2
EGFL8	NCR3
EGF	CAV1
EGF	EGFR
EGF	ERBB2
EGF	ERBB3
EGF	ERBB4
EGF	FSHR
EPGN	EGFR
EPO	EPOR
EREG	EGFR
EREG	ERBB2
EREG	ERBB3
EREG	ERBB4
F10	F3
F10	ITGAM
F10	ITGB2
F11	GP1BA
F12	CD93
F12	GP1BA
F13A1	ITGA4
F13A1	ITGA9
F13A1	ITGB1
F2	F2R
F2	F2RL1
F2	F2RL2
F2	F2RL3
F2	GP1BA
F2	GP1BB
F2	GP9
F2	ITGA2B
F2	THBD
F7	F3
F8	ASGR2
F8	LDLR
F8	LRP1
F9	LRP1
FARP2	PLXNA1
FARP2	PLXNA2
FARP2	PLXNA3
FARP2	PLXNA4
FASLG	FAS
FASLG	TNFRSF1A
FASLG	TNFRSF6B
FAT4	DCHS1
FBLN1	ITGB1
FBLN2	ITGB3
FBN1	ITGA5
FBN1	ITGAV
FBN1	ITGB1
FBN1	ITGB3
FBN1	ITGB6
FCN2	LRP1
FGA	CDH5
FGA	ITGA2B
FGA	ITGA5
FGA	ITGAD
FGA	ITGAM
FGA	ITGAV
FGA	ITGAX
FGA	ITGB1
FGA	ITGB2
FGA	ITGB3
FGA	PLAUR
FGB	ITGA2B
FGB	ITGA5
FGB	ITGAM
FGB	ITGAV
FGB	ITGB1
FGB	ITGB2
FGF10	FGFR1
FGF10	FGFR2
FGF10	FGFR3
FGF10	FGFR4
FGF11	FGFR1
FGF11	FGFR2
FGF11	FGFR3
FGF11	FGFR4
FGF12	FGFR1
FGF12	FGFR2
FGF12	FGFR3
FGF12	FGFR4
FGF13	EGFR
FGF13	FGFR1
FGF13	FGFR2
FGF13	FGFR3
FGF13	FGFR4
FGF13	SCN5A
FGF13	SCN8A
FGF14	FGFR1
FGF14	FGFR2
FGF14	FGFR3
FGF14	FGFR4
FGF16	FGFR1
FGF16	FGFR2
FGF16	FGFR3
FGF16	FGFR4
FGF17	FGFR1
FGF17	FGFR2
FGF17	FGFR3
FGF17	FGFR4
FGF18	FGFR1
FGF18	FGFR2
FGF18	FGFR3
FGF18	FGFR4
FGF19	FGFR1
FGF19	FGFR2
FGF19	FGFR3
FGF19	FGFR4
FGF19	KLB
FGF1	CD44
FGF1	EGFR
FGF1	FGFR1
FGF1	FGFR2
FGF1	FGFR3
FGF1	FGFR4
FGF1	FGFRL1
FGF1	NRP1
FGF20	FGFR4
FGF21	FGFR2
FGF21	FGFR4
FGF22	FGFR2
FGF23	FGFR1
FGF23	FGFR2
FGF23	FGFR3
FGF23	FGFR4
FGF23	PHEX
FGF2	CD44
FGF2	FGFR1
FGF2	FGFR2
FGF2	FGFR3
FGF2	FGFR4
FGF2	FGFRL1
FGF2	GPC4
FGF2	NRP1
FGF2	SDC1
FGF2	SDC2
FGF2	SDC3
FGF2	SDC4
FGF3	FGFR1
FGF3	FGFR2
FGF3	FGFR3
FGF3	FGFR4
FGF4	FGFR1
FGF4	FGFR2
FGF4	FGFR3
FGF4	FGFR4
FGF4	NRP1
