"x"
"T helper cells"
"Type I pneumocyte"
"Pericyte"
"Ductal cells"
"Airway goblet cells"
"T cells"
"Platelets"
"CD8+ cytotoxic T killer cell"
"Microfold cells"
"Microglia"
"Brush cell (Tuft cell)"
"Nuocytes"
"Endocardial cell"
"Stage II neutrophil"
"Alpha cells"
"Epidermal stem cell"
"Granulosa cells"
"Common lymphoid progenitor"
"Lymphoid-primed multipotent progenitor"
"Megakaryocyte-erythroid progenitor"
"Marginal zone B cell"
"Multipotent progenitor cell"
"Decidual cells"
"T cytotoxic cells"
"Mural cell"
"Tanycytes"
"Basophil"
"Endothelial cells (blood brain barrier)"
"Epiblast cells"
"Oligodendrocyte"
"Neural stem/precursor cells"
"Ciliated cells"
"Erythroblasts"
"Intestinal stem cell"
"Embryonic stem cell"
"CD4+ T cell"
"Schwalie et al.Nature.G3"
"Cortical cell"
"Cardiomyocyte"
"8-cell stage cell (Blastomere)"
"Late enterocyte precursor cell"
"Osteocytes"
"Müller cells"
"CD8+ T cell"
"Rheaume et al.Nat Commun.6"
"Dendritic cell"
"Vomeronasal sensory neuron"
"T cell"
"Collecting duct intercalated cell"
"Mast cell"
"Natural killer T (NKT) cell"
"Osteoclast precursor cell"
"Clara cell"
"B cell"
"Enteroendocrine precursor cell"
"Schwalie et al.Nature.G2"
"Lymphocyte"
"Enterocyte"
"Myeloid cell"
"Mesangial cell"
"Plasmacytoid dendritic cell"
"Immune cell"
"Epithelial cells"
"Late activated neural stem cell"
"Monocyte"
"Schwalie et al.Nature.G1"
"Early enterocyte precursor cell"
"Enteroendocrine cell"
"Mesenchymal progenitor cell"
"Gamma delta T cells"
"Fibroblast"
"T memory cells"
"Morula cell (Blastomere)"
"Paneth cell"
"Basal cell"
"Schwalie et al.Nature.G4"
"Cycling basal cell"
"Schwalie et al.Nature.P1"
"Goblet cell"
"Transit amplifying (TA) cell"
